player url,username,player name,league rank,most played hero,time played,percent played
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/8688,Viol2t,Minki Park,Zenyatta,21h 11m 55s,69.3%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4649,MekO,Tae-Hong Kim,D.Va,18h 40m 18s,86.7%
/en-us/players/8716,Ria,Sungwook Park,D.Va,21h 49m 32s,82.8%
/en-us/players/5878,axxiom,Minseob Park,Zarya,2h 8m 44s,71.5%
/en-us/players/4655,Bdosin,Seungtae Choi,Zenyatta,16h 7m 43s,65.9%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4663,Closer,Wonsik Jung,Lúcio,19h 30m 31s,76.4%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/8721,Chara,Jeong Yeon Kim,Lúcio,17h 13m 22s,70.4%
/en-us/players/8681,Masaa,Petja Kantanen,Lúcio,21h 13m 54s,80.1%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4079,Boombox,Isaac Charles,Zenyatta,16h 18m 10s,64.3%
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12040,Mouffin,Walid Bassal,N/A,N/A,N/A
/en-us/players/12094,Although,Hyeonwook Jung,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12058,LeeJaegon,Jae Gon  Lee,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4654,Libero,Haeseong Kim,Brigitte,18h 27m 5s,70%
/en-us/players/4139,sinatraa,Jay Won,Zarya,22h 35m 13s,82.1%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4491,babybay,Andrej Francisty,Zarya,11h 16m 32s,69.2%
/en-us/players/8812,ameng,Menghan Ding,Wrecking Ball,13h 57m 46s,56.7%
/en-us/players/4841,Anamo,Tae-Sung Jung,Lúcio,22h 10m 40s,82.3%
/en-us/players/9251,Dogman,Dusttin Bowerman,Zenyatta,15h 18m 19s,65.6%
/en-us/players/8218,Marve1,Min Seo Hwang,Reinhardt,9h 9m 48s,48.3%
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/3313,Mangachu,Liam Campbell,Mei,4h 4m 49s,50.6%
/en-us/players/8784,Corey,Corey Nigra,Zarya,12h 39m 41s,51.3%
/en-us/players/3981,Kellex,Kristian Keller,Lúcio,16h 26m 23s,68.4%
/en-us/players/5831,Choihyobin,Hyobin Choi,D.Va,26h 53m 15s,86.6%
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/4489,Danteh,Dante Cruz,Sombra,10h 44m 45s,51.9%
N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12101,Babel,Sangjun Park,N/A,N/A,N/A
/en-us/players/12077,SMEX,Eoghan O'Neill,N/A,N/A,N/A
/en-us/players/12097,Jaru,Jason White,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12111,FDGod,Brice Monscavoir,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
/en-us/players/12044,Fuze,TaeHoon Kim,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A
